"","VARW","VAR","IV","Gini","miss","V1","V2"
"35","EXT_SOURCE_2_woe","EXT_SOURCE_2","0.3057",0.305644994568622,0,NA,NA
"36","EXT_SOURCE_3_woe","EXT_SOURCE_3","0.3287",0.274904377479772,0,NA,NA
"10","DAYS_EMPLOYED_woe","DAYS_EMPLOYED","0.1013",0.177293106934618,0,NA,NA
"38","GOOD_PRICE_woe","GOOD_PRICE","0.092",0.167435895188778,0,NA,NA
"9","DAYS_BIRTH_woe","DAYS_BIRTH","0.0841",0.163852720850111,0,"EMP_MOBILE_PHONEF_woe",NA
"43","JOBF_woe","JOBF","0.0829",0.153059764467018,0.313455065771288,NA,NA
"47","ORGANIZATION_TYPEF_woe","ORGANIZATION_TYPEF","0.06",0.133070620991913,0,NA,NA
"56","SOURCE_INCOMEF_woe","SOURCE_INCOMEF","0.0574",0.121664760440674,0,NA,NA
"34","EXT_SOURCE_1_woe","EXT_SOURCE_1","0.1514",0.121238042838713,0,NA,NA
"2","AMT_CREDIT_woe","AMT_CREDIT","0.0451",0.118979228734437,0,NA,NA
"12","DAYS_PHONE_CHANGE_woe","DAYS_PHONE_CHANGE","0.0467",0.115692683651843,0,NA,NA
"11","DAYS_ID_CHANGE_woe","DAYS_ID_CHANGE","0.0385",0.110422344838947,0,NA,NA
"53","REGION_RATEF_woe","REGION_RATEF","0.0484",0.0961284924854624,0,NA,NA
"55","SEXF_woe","SEXF","0.0386",0.0952473063531889,0,NA,NA
"32","EDUCATIONF_woe","EDUCATIONF","0.0505",0.0935544917436062,0,NA,NA
"1","AMT_ANNUITY_woe","AMT_ANNUITY","0.0266",0.0885580660776562,0,NA,NA
"13","DAYS_REGISTRATION_woe","DAYS_REGISTRATION","0.0269",0.0856273184970613,0,NA,NA
